# osu-lat-charm.py 1 4194304 1000 500 0 /home/zanef2/charm-mpi-compare +ppn 1 +pemap L0,4
Iteration Group,Message Size,Total Trials,Warmup Trials,Elapsed seconds
760,64,1000,50,1.8064000000000002e-06
770,64,1000,50,1.8074e-06
780,64,1000,50,1.7873e-06
790,64,1000,50,1.8074e-06
800,64,1000,50,1.8024e-06
810,64,1000,50,1.8195e-06
820,64,1000,50,1.7882999999999999e-06
830,64,1000,50,1.7814e-06
840,64,1000,50,1.9206e-06
850,64,1000,50,1.7763e-06
860,64,1000,50,1.8144000000000002e-06
870,64,1000,50,1.7884e-06
880,64,1000,50,1.8324e-06
890,64,1000,50,1.8094e-06
900,64,1000,50,1.8214e-06
910,64,1000,50,1.7992999999999999e-06
920,64,1000,50,1.8034000000000002e-06
930,64,1000,50,1.8094e-06
940,64,1000,50,1.8264e-06
950,64,1000,50,1.7913e-06
960,64,1000,50,1.9116e-06
970,64,1000,50,1.8145e-06
980,64,1000,50,1.7994e-06
990,64,1000,50,1.8234000000000002e-06
1000,64,1000,50,1.7974000000000001e-06
1010,64,1000,50,1.8315e-06
1020,64,1000,50,1.8295e-06
1030,64,1000,50,1.8145e-06
1040,64,1000,50,1.7873e-06
0,128,1000,50,1.7964e-06
10,128,1000,50,1.9857e-06
20,128,1000,50,1.7954e-06
